streamorde,STATEFP,NAME,CASC,no,yes,total_comid,perc
2,30,Montana,North Central,22253,1,22254,0.004493574188909859
2,31,Nebraska,North Central,13280,5,13285,0.03763643206624012
2,32,Nevada,Southwest,20075,10,20085,0.04978839930296241
2,33,New Hampshire,Northeast,2757,3,2760,0.10869565217391304
2,34,New Jersey,Northeast,2937,26,2963,0.8774890313871078
2,35,New Mexico,South Central,15612,10,15622,0.06401229035974906
2,36,New York,Northeast,10775,35,10810,0.32377428307123035
2,37,North Carolina,Southeast,13935,37,13972,0.2648153449756656
2,38,North Dakota,North Central,9718,2,9720,0.0205761316872428
2,39,Ohio,Midwest,11581,14,11595,0.12074169900819318
2,40,Oklahoma,South Central,14222,12,14234,0.08430518476886328
2,41,Oregon,Northwest,252,0,252,0
2,42,Pennsylvania,Northeast,11490,24,11514,0.20844189682126105
2,44,Rhode Island,Northeast,346,10,356,2.8089887640449436
2,45,South Carolina,Southeast,8593,11,8604,0.1278475127847513
2,46,South Dakota,North Central,18026,2,18028,0.011093854004881297
2,47,Tennessee,Southeast,13840,7,13847,0.05055246623817433
2,48,Texas,South Central,20665,64,20729,0.3087462009744802
2,49,Utah,Southwest,12466,9,12475,0.07214428857715431
2,50,Vermont,Northeast,1242,5,1247,0.40096230954290296
2,51,Virginia,Northeast,12361,15,12376,0.12120232708468003
2,54,West Virginia,Northeast,6112,7,6119,0.11439777741461023
2,55,Wisconsin,Midwest,11587,23,11610,0.19810508182601205
2,56,Wyoming,North Central,16676,3,16679,0.01798668984951136
2,NA,NA,NA,85152,76,85228,0.08917257239404891
3,01,Alabama,Southeast,9046,23,9069,0.2536112029992281
3,04,Arizona,Southwest,9846,16,9862,0.16223889677550193
3,05,Arkansas,Southeast,10959,16,10975,0.1457858769931663
3,06,California,Southwest,702,10,712,1.4044943820224718
3,08,Colorado,North Central,7508,73,7581,0.9629336499142594
3,09,Connecticut,Northeast,923,23,946,2.431289640591966
3,10,Delaware,Northeast,542,2,544,0.3676470588235294
3,11,District of Columbia,Northeast,8,2,10,20
3,12,Florida,Southeast,1033,4,1037,0.3857280617164899
3,13,Georgia,Southeast,5412,36,5448,0.6607929515418502
3,16,Idaho,Northwest,465,0,465,0
3,17,Illinois,Midwest,7063,34,7097,0.47907566577427085
3,18,Indiana,Midwest,2345,33,2378,1.387720773759462
3,19,Iowa,Midwest,7334,9,7343,0.12256570883834945
3,20,Kansas,North Central,12193,13,12206,0.10650499754219235
3,21,Kentucky,Northeast,5046,28,5074,0.5518328734726055
3,22,Louisiana,South Central,5289,5,5294,0.09444654325651682
3,23,Maine,Northeast,3379,12,3391,0.3538779121203185
3,24,Maryland,Northeast,1668,38,1706,2.2274325908558033
3,25,Massachusetts,Northeast,1313,29,1342,2.1609538002980626
3,26,Michigan,Midwest,5107,35,5142,0.6806690003889537
3,27,Minnesota,Midwest,7298,5,7303,0.06846501437765301
3,28,Mississippi,Southeast,9219,7,9226,0.07587253414264036
3,29,Missouri,Midwest,11925,28,11953,0.23425081569480466
3,30,Montana,North Central,12093,16,12109,0.13213312412255349
3,31,Nebraska,North Central,7407,13,7420,0.1752021563342318
3,32,Nevada,Southwest,9479,18,9497,0.1895335369063915
3,33,New Hampshire,Northeast,1363,8,1371,0.5835156819839533
3,34,New Jersey,Northeast,1351,48,1399,3.4310221586847747
3,35,New Mexico,South Central,8501,12,8513,0.14096088335486903
3,36,New York,Northeast,5741,59,5800,1.0172413793103448
