gage,streamorde,STATEFP,NAME,CASC,n_comid,total_length
yes,1,44,Rhode Island,Northeast,3,129.82
yes,1,45,South Carolina,Southeast,3,1184.191
yes,1,47,Tennessee,Southeast,1,2817.895
yes,1,48,Texas,South Central,30,14163.576
yes,1,49,Utah,Southwest,4,1880.4460000000001
yes,1,50,Vermont,Northeast,5,917.049
yes,1,51,Virginia,Northeast,4,1619.582
yes,1,53,Washington,Northwest,15,630.655
yes,1,55,Wisconsin,Midwest,13,24023.723
yes,1,56,Wyoming,North Central,2,4169.541
yes,2,01,Alabama,Southeast,16,10383.356
yes,2,04,Arizona,Southwest,10,7020.082
yes,2,05,Arkansas,Southeast,10,12167.310000000001
yes,2,06,California,Southwest,38,3521.074
yes,2,08,Colorado,North Central,40,112907.285
yes,2,09,Connecticut,Northeast,13,518.811
yes,2,10,Delaware,Northeast,3,202.624
yes,2,11,District of Columbia,Northeast,1,187.657
yes,2,12,Florida,Southeast,4,43.657
yes,2,13,Georgia,Southeast,13,8877.979
yes,2,16,Idaho,Northwest,7,7142.348
yes,2,17,Illinois,Midwest,18,43639.816999999995
yes,2,18,Indiana,Midwest,27,56593.520000000004
yes,2,19,Iowa,Midwest,4,9979.06
yes,2,20,Kansas,North Central,2,5178.841
yes,2,21,Kentucky,Northeast,20,47353.327
yes,2,22,Louisiana,South Central,2,749.3030000000001
yes,2,23,Maine,Northeast,7,582.075
yes,2,24,Maryland,Northeast,27,9060.491
yes,2,25,Massachusetts,Northeast,12,994.284
yes,2,26,Michigan,Midwest,20,2405.338
yes,2,27,Minnesota,Midwest,3,6986.906999999999
yes,2,28,Mississippi,Southeast,2,1781.9940000000001
yes,2,29,Missouri,Midwest,19,35732.862
yes,2,30,Montana,North Central,5,11294.462
yes,2,31,Nebraska,North Central,5,16085.39
yes,2,32,Nevada,Southwest,10,2987.8849999999998
yes,2,33,New Hampshire,Northeast,3,332.675
yes,2,34,New Jersey,Northeast,26,2346.822
yes,2,35,New Mexico,South Central,10,26003.853
yes,2,36,New York,Northeast,35,9411.725
yes,2,37,North Carolina,Southeast,37,20785.165
yes,2,38,North Dakota,North Central,2,786.256
yes,2,39,Ohio,Midwest,14,6243.282999999999
yes,2,40,Oklahoma,South Central,12,20949.626
yes,2,41,Oregon,Northwest,14,3918.549
yes,2,42,Pennsylvania,Northeast,24,14567.472
yes,2,44,Rhode Island,Northeast,10,449.783
yes,2,45,South Carolina,Southeast,11,4386.726
yes,2,46,South Dakota,North Central,2,8197.543
yes,2,47,Tennessee,Southeast,7,14819.443
yes,2,48,Texas,South Central,64,27496.572
yes,2,49,Utah,Southwest,9,6300.891
yes,2,50,Vermont,Northeast,5,851.466
yes,2,51,Virginia,Northeast,15,5042.987
yes,2,53,Washington,Northwest,17,1847.73
yes,2,54,West Virginia,Northeast,7,4898.666
yes,2,55,Wisconsin,Midwest,23,29447.229
yes,2,56,Wyoming,North Central,5,15520.799
yes,3,01,Alabama,Southeast,23,17250.773
yes,3,04,Arizona,Southwest,16,10912.758
yes,3,05,Arkansas,Southeast,16,22469.827
yes,3,06,California,Southwest,86,8811.519
yes,3,08,Colorado,North Central,73,192686.921
yes,3,09,Connecticut,Northeast,23,1520.04
yes,3,10,Delaware,Northeast,2,108.437
yes,3,11,District of Columbia,Northeast,2,381.664
yes,3,12,Florida,Southeast,4,156.562
yes,3,13,Georgia,Southeast,36,28534.405
yes,3,16,Idaho,Northwest,18,20258.043
yes,3,17,Illinois,Midwest,34,78625.986
yes,3,18,Indiana,Midwest,33,65385.06
yes,3,19,Iowa,Midwest,9,22322.084000000003
yes,3,20,Kansas,North Central,13,32520.241
yes,3,21,Kentucky,Northeast,28,64254.483
yes,3,22,Louisiana,South Central,5,2077.379
yes,3,23,Maine,Northeast,12,1971.82
yes,3,24,Maryland,Northeast,38,11525.882
yes,3,25,Massachusetts,Northeast,29,3804.315
yes,3,26,Michigan,Midwest,35,4521.463
yes,3,27,Minnesota,Midwest,5,6451.284
yes,3,28,Mississippi,Southeast,7,3915.736
yes,3,29,Missouri,Midwest,28,58390.015
yes,3,30,Montana,North Central,26,93193.213
yes,3,31,Nebraska,North Central,13,39547.738
yes,3,32,Nevada,Southwest,19,4554.022
yes,3,33,New Hampshire,Northeast,8,1396.082
yes,3,34,New Jersey,Northeast,48,4020.698
yes,3,35,New Mexico,South Central,12,31082.384000000002
yes,3,36,New York,Northeast,59,18655.418
yes,3,37,North Carolina,Southeast,40,24740.022
yes,3,38,North Dakota,North Central,6,16896.2
yes,3,39,Ohio,Midwest,35,60210.619
yes,3,40,Oklahoma,South Central,15,26078.011
yes,3,41,Oregon,Northwest,32,11832.154
yes,3,42,Pennsylvania,Northeast,64,27469.881
yes,3,44,Rhode Island,Northeast,7,265.272
yes,3,45,South Carolina,Southeast,18,7851.6720000000005
yes,3,46,South Dakota,North Central,12,48305.884
yes,3,47,Tennessee,Southeast,17,37495.389
yes,3,48,Texas,South Central,114,73561.561
yes,3,49,Utah,Southwest,23,17561.128
yes,3,50,Vermont,Northeast,19,4351.837
yes,3,51,Virginia,Northeast,27,17651.928
yes,3,53,Washington,Northwest,60,12533.863
yes,3,54,West Virginia,Northeast,15,38272.927
yes,3,55,Wisconsin,Midwest,32,51344.782999999996
yes,3,56,Wyoming,North Central,11,44092.392
yes,4,01,Alabama,Southeast,39,37499.018
yes,4,04,Arizona,Southwest,24,15826.431
yes,4,05,Arkansas,Southeast,35,51289.447
yes,4,06,California,Southwest,101,12057.4
yes,4,08,Colorado,North Central,73,184666.368
yes,4,09,Connecticut,Northeast,19,1221.797
yes,4,10,Delaware,Northeast,7,531.239
yes,4,12,Florida,Southeast,9,730.523
yes,4,13,Georgia,Southeast,58,47712.731
yes,4,16,Idaho,Northwest,36,46373.154
yes,4,17,Illinois,Midwest,41,89663.443
yes,4,18,Indiana,Midwest,41,82110.235
yes,4,19,Iowa,Midwest,31,80459.075
yes,4,20,Kansas,North Central,40,103454.016
yes,4,21,Kentucky,Northeast,30,72496.804
yes,4,22,Louisiana,South Central,13,4528.108
yes,4,23,Maine,Northeast,18,2284.982
yes,4,24,Maryland,Northeast,19,4708.571
yes,4,25,Massachusetts,Northeast,33,3722.6890000000003
yes,4,26,Michigan,Midwest,54,5491.702
yes,4,27,Minnesota,Midwest,21,30595.806
yes,4,28,Mississippi,Southeast,19,12406.482
yes,4,29,Missouri,Midwest,51,112090.596
yes,4,30,Montana,North Central,30,132916.762
yes,4,31,Nebraska,North Central,26,80267.961
yes,4,32,Nevada,Southwest,12,6778.095
yes,4,33,New Hampshire,Northeast,22,4930.087
yes,4,34,New Jersey,Northeast,30,3109.947
yes,4,35,New Mexico,South Central,24,54555.873
yes,4,36,New York,Northeast,83,20422.696
yes,4,37,North Carolina,Southeast,70,78821.113
yes,4,38,North Dakota,North Central,30,59182.454
yes,4,39,Ohio,Midwest,78,160860.632
yes,4,40,Oklahoma,South Central,29,47723.574
yes,4,41,Oregon,Northwest,59,21981.688
yes,4,42,Pennsylvania,Northeast,86,89967.496
yes,4,44,Rhode Island,Northeast,7,290.331
yes,4,45,South Carolina,Southeast,24,9189.005000000001
yes,4,46,South Dakota,North Central,24,92959.592
yes,4,47,Tennessee,Southeast,29,65408.364
yes,4,48,Texas,South Central,141,99200.461
yes,4,49,Utah,Southwest,38,32746.14
yes,4,50,Vermont,Northeast,14,2978.782
yes,4,51,Virginia,Northeast,67,54138.356
yes,4,53,Washington,Northwest,65,18264.47
yes,4,54,West Virginia,Northeast,31,76806.056
yes,4,55,Wisconsin,Midwest,38,72261.827
yes,4,56,Wyoming,North Central,28,93833.8
yes,5,01,Alabama,Southeast,40,26471.754
yes,5,04,Arizona,Southwest,46,29090.763
yes,5,05,Arkansas,Southeast,29,39929.708
yes,5,06,California,Southwest,102,13628.029
yes,5,08,Colorado,North Central,56,138413.21600000001
yes,5,09,Connecticut,Northeast,8,604.998
yes,5,10,Delaware,Northeast,1,72.13
yes,5,12,Florida,Southeast,12,1149.56
yes,5,13,Georgia,Southeast,37,25755.085
yes,5,16,Idaho,Northwest,50,65327.707
yes,5,17,Illinois,Midwest,40,89998.476
yes,5,18,Indiana,Midwest,40,77833.435
yes,5,19,Iowa,Midwest,45,118921.17
yes,5,20,Kansas,North Central,55,144509.564
yes,5,21,Kentucky,Northeast,23,55183.591
yes,5,22,Louisiana,South Central,22,6795.489
yes,5,23,Maine,Northeast,16,1681.847
yes,5,24,Maryland,Northeast,16,13081.597
yes,5,25,Massachusetts,Northeast,9,1209.427
yes,5,26,Michigan,Midwest,31,3564.356
yes,5,27,Minnesota,Midwest,41,77614.946
yes,5,28,Mississippi,Southeast,26,14903.653
yes,5,29,Missouri,Midwest,69,149280.059
yes,5,30,Montana,North Central,68,277670.765
yes,5,31,Nebraska,North Central,31,96261.837
yes,5,32,Nevada,Southwest,38,15119.31
yes,5,33,New Hampshire,Northeast,14,3680.67
yes,5,34,New Jersey,Northeast,4,220.344
yes,5,35,New Mexico,South Central,45,92764.894
yes,5,36,New York,Northeast,48,14180.654
yes,5,37,North Carolina,Southeast,41,40219.104
yes,5,38,North Dakota,North Central,47,88392.027
yes,5,39,Ohio,Midwest,55,108532.187
yes,5,40,Oklahoma,South Central,22,39153.893000000004
yes,5,41,Oregon,Northwest,53,16849.56
